Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
Date,Interest rate
1/2/91,6.74
2/1/91,6.27
3/1/91,6.52
4/1/91,6.27
5/1/91,6.09
6/3/91,6.27
7/1/91,6.38
8/1/91,6.23
9/2/91,5.72
10/1/91,5.42
11/1/91,5.03
12/2/91,4.68
1/1/92,4.12
2/3/92,4.23
3/2/92,4.5
4/1/92,4.48
5/1/92,4.28
6/1/92,4.32
7/1/92,4.04
8/3/92,3.61
9/1/92,3.45
10/1/92,2.96
11/2/92,3.62
12/1/92,3.86
1/4/93,3.56
2/1/93,3.4
3/1/93,3.3
4/1/93,3.32
5/3/93,3.22
6/1/93,3.55
7/1/93,3.41
8/2/93,3.58
9/1/93,3.36
10/1/93,3.35
11/1/93,3.53
12/1/93,3.62
1/3/94,3.67
2/1/94,3.6
3/1/94,4.16
4/4/94,4.83
5/2/94,5.12
6/1/94,5.36
7/1/94,5.5
8/1/94,5.4
9/1/94,5.56
10/3/94,6.06
11/1/94,6.25
12/1/94,6.94
1/3/95,7.23
2/1/95,6.97
3/1/95,6.44
4/3/95,6.45
5/1/95,6.32
6/1/95,5.68
7/3/95,5.63
8/1/95,5.71
9/1/95,5.6
10/2/95,5.65
11/1/95,5.46
12/1/95,5.33
1/2/96,5.17
2/1/96,4.88
3/1/96,5.07
4/1/96,5.41
5/1/96,5.6
6/3/96,5.78
7/1/96,5.74
8/1/96,5.74
9/3/96,5.94
10/1/96,5.65
11/1/96,5.46
12/2/96,5.4
1/2/97,5.63
2/3/97,5.54
3/3/97,5.68
4/1/97,6
5/1/97,5.89
6/2/97,5.78
7/1/97,5.64
8/1/97,5.52
9/2/97,5.57
10/1/97,5.44
11/3/97,5.44
12/1/97,5.56
1/2/98,5.46
2/2/98,5.26
3/2/98,5.43
4/1/98,5.37
5/1/98,5.41
6/1/98,5.4
7/1/98,5.37
8/3/98,5.37
9/1/98,4.87
10/1/98,4.28
11/2/98,4.33
12/1/98,4.46
1/4/99,4.58
2/1/99,4.58
3/1/99,4.91
4/1/99,4.73
5/3/99,4.79
6/1/99,5.09
7/1/99,5.09
8/2/99,5.15
9/1/99,5.3
10/1/99,5.3
11/1/99,5.47
12/1/99,5.73
1/3/00,6.09
2/1/00,6.3
3/1/00,6.17
4/3/00,6.23
5/1/00,6.24
6/1/00,6.32
7/3/00,6.07
8/1/00,6.09
9/1/00,6.18
10/2/00,6.06
11/1/00,6.1
12/1/00,5.93
1/2/01,5.11
2/2/01,4.67
3/1/01,4.45
4/2/01,4.1
5/1/01,3.91
5/31/01,3.63
7/2/01,3.74
8/1/01,3.56
9/4/01,3.55
10/1/01,2.47
11/1/01,2.1
12/3/01,2.08
1/2/02,2.28
2/1/02,2.22
3/1/02,2.33
4/1/02,2.76
5/1/02,2.33
6/3/02,2.35
7/1/02,2.09
8/1/02,1.75
9/3/02,1.71
10/1/02,1.56
11/1/02,1.46
12/2/02,1.56
1/2/03,1.42
2/3/03,1.34
3/3/03,1.26
4/1/03,1.16
5/1/03,1.21
6/2/03,1.15
7/1/03,1.07
8/1/03,1.31
9/2/03,1.39
10/1/03,1.13
11/3/03,1.33
12/1/03,1.41
1/2/04,1.31
2/2/04,1.29
3/1/04,1.23
4/1/04,1.23
5/3/04,1.6
6/1/04,1.89
7/1/04,2.07
8/2/04,2.12
9/1/04,1.99
10/1/04,2.21
11/1/04,2.34
12/1/04,2.6
1/3/05,2.79
2/1/05,2.95
3/1/05,3.2
4/1/05,3.34
5/2/05,3.34
6/1/05,3.25
7/1/05,3.51
8/1/05,3.83
9/1/05,3.66
10/3/05,4.09
11/1/05,4.31
12/1/05,4.36
1/3/06,4.38
2/1/06,4.6
3/1/06,4.74
4/3/06,4.86
5/1/06,4.97
6/1/06,5.05
7/3/06,5.26
8/1/06,5.11
9/1/06,4.99
10/2/06,4.9
11/1/06,4.95
12/1/06,4.87
1/2/07,5
2/1/07,5.09
3/1/07,4.95
4/2/07,4.92
5/1/07,4.89
6/1/07,4.98
7/2/07,4.97
8/1/07,4.82
9/4/07,4.39
10/1/07,4.11
11/1/07,3.89
12/3/07,3.15
1/2/08,3.17
2/1/08,2.13
3/3/08,1.74
4/1/08,1.62
5/1/08,1.94
6/2/08,2.17
7/1/08,2.38
8/1/08,2.25
9/2/08,2.12
10/1/08,1.72
11/3/08,1.31
12/1/08,0.81
1/2/09,0.4
2/2/09,0.51
3/2/09,0.67
4/2/09,0.59
5/1/09,0.49
6/1/09,0.48
7/1/09,0.54
8/3/09,0.48
9/1/09,0.43
10/1/09,0.37
11/2/09,0.38
12/1/09,0.26
1/4/10,0.45
2/1/10,0.33
3/1/10,0.32
4/1/10,0.42
5/3/10,0.43
6/1/10,0.35
7/1/10,0.32
8/2/10,0.28
9/1/10,0.25
10/1/10,0.26
11/1/10,0.22
12/1/10,0.28
1/3/11,0.29
2/1/11,0.27
3/1/11,0.25
4/1/11,0.27
5/2/11,0.22
6/1/11,0.18
7/1/11,0.2
8/1/11,0.22
9/1/11,0.1
10/3/11,0.12
11/1/11,0.13
12/1/11,0.12
1/3/12,0.12
2/1/12,0.13
3/1/12,0.18
4/2/12,0.18
5/1/12,0.19
6/1/12,0.17
7/2/12,0.21
8/1/12,0.17
9/4/12,0.16
10/1/12,0.17
11/1/12,0.18
12/3/12,0.18
1/2/13,0.15
2/1/13,0.15
3/1/13,0.16
4/1/13,0.14
5/1/13,0.11
6/3/13,0.14
7/1/13,0.15
8/1/13,0.13
9/3/13,0.14
10/1/13,0.1
11/1/13,0.1
12/2/13,0.13
1/2/14,0.13
2/3/14,0.11
3/3/14,0.12
4/1/14,0.13
5/1/14,0.1
6/2/14,0.1
7/1/14,0.11
8/1/14,0.13
9/2/14,0.1
10/1/14,0.1
11/3/14,0.12
12/1/14,0.13
1/2/15,0.25
2/2/15,0.17
3/2/15,0.22
4/1/15,0.27
5/1/15,0.25
6/1/15,0.26
7/1/15,0.28
8/3/15,0.33
9/1/15,0.39
10/1/15,0.31
11/2/15,0.37
12/1/15,0.51
1/4/16,0.61
2/1/16,0.47
3/1/16,0.68
4/1/16,0.62
5/2/16,0.55
6/1/16,0.7
7/1/16,0.45
8/1/16,0.5
9/1/16,0.6
10/3/16,0.63
11/1/16,0.65
12/1/16,0.82
1/3/17,0.89
2/1/17,0.83
3/1/17,0.92
4/3/17,1.02
5/1/17,1.09
6/1/17,1.16
7/3/17,1.24
8/1/17,1.22
9/1/17,1.24
10/2/17,1.31
11/1/17,1.46
12/1/17,1.62
1/2/18,1.83
2/1/18,1.89
3/1/18,2.05
4/2/18,2.08
5/1/18,2.26
6/1/18,2.28
7/2/18,2.34
8/1/18,2.45
9/4/18,2.49
10/1/18,2.6
11/1/18,2.67
12/3/18,2.72
1/2/19,2.6
2/1/19,2.56
3/1/19,2.55
4/1/19,2.41
5/1/19,2.39
6/3/19,2.11
7/1/19,1.94
8/1/19,1.88
9/3/19,1.72
10/1/19,1.73
11/1/19,1.53
12/2/19,1.6
1/2/20,1.56
2/3/20,1.46
3/2/20,0.89
4/1/20,0.16
5/1/20,0.17
6/1/20,0.17
7/1/20,0.16
8/3/20,0.12
9/1/20,0.12
10/1/20,0.12
11/2/20,0.13
12/1/20,0.12
