DATE,vwretd,vwretx
2014-01-31,-0.030020,-0.031124
2014-02-28,0.046198,0.043963
2014-03-31,0.004540,0.002819
2014-04-30,0.001573,0.000410
2014-05-30,0.020254,0.018045
2014-06-30,0.027973,0.025986
2014-07-31,-0.020555,-0.021849
2014-08-29,0.040205,0.038202
2014-09-30,-0.025196,-0.026893
2014-10-31,0.021164,0.019916
2014-11-28,0.021104,0.018938
2014-12-31,-0.003659,-0.005800
2015-01-30,-0.027163,-0.028233
2015-02-27,0.055915,0.053599
2015-03-31,-0.010397,-0.012211
2015-04-30,0.008766,0.007618
2015-05-29,0.010277,0.008115
2015-06-30,-0.019231,-0.021171
2015-07-31,0.012108,0.010895
2015-08-31,-0.059926,-0.061993
2015-09-30,-0.033756,-0.035693
2015-10-30,0.073937,0.072542
2015-11-30,0.002404,0.000136
2015-12-31,-0.022209,-0.024447
2016-01-29,-0.057085,-0.058253
2016-02-29,0.000620,-0.001802
2016-03-31,0.070491,0.068122
2016-04-29,0.011718,0.010483
2016-05-31,0.014340,0.011925
2016-06-30,0.002947,0.000875
2016-07-29,0.038815,0.037567
2016-08-31,0.002800,0.000463
2016-09-30,0.003013,0.001235
2016-10-31,-0.021544,-0.022789
2016-11-30,0.040488,0.038040
2016-12-30,0.018763,0.016625
2017-01-31,0.022153,0.021130
2017-02-28,0.032598,0.030496
2017-03-31,0.002062,0.000191
2017-04-28,0.009655,0.008535
2017-05-31,0.009335,0.006983
2017-06-30,0.009571,0.007690
2017-07-31,0.020277,0.018893
2017-08-31,0.001600,-0.000638
2017-09-29,0.023729,0.022122
2017-10-31,0.019275,0.018190
2017-11-30,0.027231,0.024905
2017-12-29,0.012122,0.010264
2018-01-31,0.050577,0.049625
2018-02-28,-0.039455,-0.041323
2018-03-29,-0.018421,-0.020288
2018-04-30,0.004679,0.003570
2018-05-31,0.026146,0.023849
2018-06-29,0.005359,0.003576
2018-07-31,0.031573,0.030436
2018-08-31,0.030233,0.027765
2018-09-28,0.000425,-0.001212
2018-10-31,-0.074045,-0.075113
2018-11-30,0.018512,0.016171
2018-12-31,-0.089890,-0.092124
2019-01-31,0.088294,0.087067
2019-02-28,0.032724,0.030666
2019-03-29,0.012962,0.011140
2019-04-30,0.037893,0.036700
2019-05-31,-0.061679,-0.063898
2019-06-28,0.067279,0.065283
2019-07-31,0.011854,0.010702
2019-08-30,-0.020339,-0.022372
2019-09-30,0.016033,0.014169
2019-10-31,0.019257,0.018086
2019-11-29,0.034999,0.032986
2019-12-31,0.028489,0.026242
2020-01-31,-0.001728,-0.002849
2020-02-28,-0.077918,-0.079868
2020-03-31,-0.141733,-0.143685
2020-04-30,0.129674,0.128408
2020-05-29,0.053739,0.051688
2020-06-30,0.025299,0.023522
2020-07-31,0.055531,0.054411
2020-08-31,0.068442,0.066798
2020-09-30,-0.035056,-0.036515
2020-10-30,-0.020178,-0.021218
2020-11-30,0.123707,0.122019
2020-12-31,0.045048,0.043244
2021-01-29,-0.000631,-0.001611
2021-02-26,0.029196,0.027888
2021-03-31,0.030573,0.029086
2021-04-30,0.048190,0.047301
2021-05-28,0.007092,0.005786
2021-06-30,0.023422,0.022021
2021-07-30,0.011828,0.010952
2021-08-31,0.027146,0.025841
2021-09-30,-0.042243,-0.043531
2021-10-29,0.064651,0.063760
2021-11-30,-0.018350,-0.019707
2021-12-31,0.033341,0.031573
2022-01-31,-0.059822,-0.060568
2022-02-28,-0.021838,-0.023121
2022-03-31,0.030506,0.028940
2022-04-29,-0.089387,-0.090295
2022-05-31,-0.002113,-0.003740
2022-06-30,-0.083998,-0.085822
2022-07-29,0.090351,0.089287
2022-08-31,-0.036233,-0.037918
2022-09-30,-0.091323,-0.093030
2022-10-31,0.077394,0.076265
2022-11-30,0.052354,0.050479
2022-12-30,-0.057119,-0.059152
2023-01-31,0.071823,0.070884
2023-02-28,-0.024666,-0.026252
2023-03-31,0.023950,0.022043
2023-04-28,0.008976,0.007865
2023-05-31,0.000708,-0.001057
2023-06-30,0.066183,0.064342
2023-07-31,0.035618,0.034672
2023-08-31,-0.020608,-0.022266
2023-09-29,-0.047390,-0.048860
2023-10-31,-0.028865,-0.029857
2023-11-30,0.092053,0.090037
2023-12-29,0.053604,0.051476
2024-01-31,0.007561,0.006743
2024-02-29,0.050583,0.049052
2024-03-28,0.032450,0.030938
2024-04-30,-0.042724,-0.043636
2024-05-31,0.046553,0.044979
2024-06-28,0.026073,0.024380
2024-07-31,0.019878,0.019000
2024-08-30,0.021572,0.020203
2024-09-30,0.020969,0.019485
2024-10-31,-0.008298,-0.009139
2024-11-29,0.064855,0.063463
2024-12-31,-0.031582,-0.033469
